Bonus,Titlu scurt,Status,Fisier(e),Linii cheie,Descriere implementare
1,Input attributes din BD,IMPLEMENTAT,views/pagini/produse.ejs,"L56 (min/max pret), L12-31 (calcul min/max)","min/max pe range-ul de pret calculat dinamic din date; datalist autonomie generat din valori unice din BD"
2,3+ teme cu localStorage,IMPLEMENTAT,"resurse/js/tema.js | resurse/scss/index.scss | views/fragmente/header.ejs","tema.js L1-30 | index.scss L144-200 | header.ejs L67-75","Teme: dark / light / tactical; selectate prin header; salvate in localStorage; aplicate via data-tema pe <html>"
3,Mesaj produse goale,IMPLEMENTAT,"views/pagini/produse.ejs | resurse/js/produse.js","produse.ejs L159-160 | produse.js L72-78","Element #mesaj-gol afisat cand n=0 dupa filtrare (toggle clasa 'ascuns')"
4,Filtrare onchange,IMPLEMENTAT,resurse/js/produse.js,"L281-311","addEventListener('input') pt text/number si addEventListener('change') pt select/radio/checkbox pe toate cele 8 filtre"
5,Paginare,IMPLEMENTAT,"resurse/js/produse.js | views/pagini/produse.ejs","produse.js aplicaPaginaClient+randeazaPaginare | produse.ejs #paginare","K=6 produse/pagina; client-side: slice din articolele potrivite; server-side: LIMIT/OFFSET via getProdusFiltrate; pagination Bootstrap generata dinamic"
6,3 butoane per produs,IMPLEMENTAT,"views/fragmente/_articolProdus.ejs | resurse/js/produse.js","_articolProdus.ejs L28-39 | produse.js L349-385","Pin (.btn-pin L357-362) / Ascundere temporara (.btn-ascunde-temp L366-371) / Stergere sesiune (.btn-ascunde-sesiune + sessionStorage L375-384)"
7,Normalizare diacritice,IMPLEMENTAT,resurse/js/produse.js,"L43-47","Functia normalizeaza() - NFD + regex replace; folosita la cautare nume si descriere"
8,2 chei sortare din 3+,IMPLEMENTAT,"views/pagini/produse.ejs | resurse/js/produse.js","produse.ejs L120-136 | produse.js L188-216","Doua select-uri (sort-cheie1 / sort-cheie2) cu 4 optiuni: pret / autonomie / nrcompat / data; logica multi-cheie L207-213"
9,Imagini multiple + carusel,IMPLEMENTAT,"index.js | views/pagini/produs.ejs | bd/schema.sql","index.js L431-460 | produs.ejs L26-50","imagine VARCHAR stocheaza folder; getImaginiProdus() citeste toate fisierele din folder; carusel Bootstrap pe produs.ejs daca sunt 2+ imagini; prima imagine = thumbnail in lista"
10a,Filtrare/sortare server-side,IMPLEMENTAT,"index.js | bazaDate.js","index.js /api/produse | bazaDate.js getProdusFiltrate","SQL dinamic cu WHERE/ORDER BY/LIMIT/OFFSET; sort 2 chei; switch in produse.ejs alege client vs server"
10b,Server-side cu fetch(),IMPLEMENTAT,"resurse/js/produse.js","produse.js fetchFiltreaza()","fetch()/URLSearchParams trimite toti parametrii la /api/produse; debounce 300ms pe filtrare live"
11,Modal produs pe pagina produse,IMPLEMENTAT,"views/fragmente/_modalProdus.ejs | resurse/js/produse.js","_modalProdus.ejs L1-sfarsit | produse.js L389-402","Modal Bootstrap per produs (id modal-produs-<id>); click pe articol (nu pe link H3) deschide modalul"
12,Sistem oferte cu timer,IMPLEMENTAT,"oferte.json | index.js | resurse/js/oferta.js | views/pagini/index.ejs | views/pagini/produse.ejs | views/fragmente/_articolProdus.ejs","index.js genereazaOferta+getOfertaCurenta+/api/oferta-curenta | oferta.js timer+marcheazaPreturiOferta","Oferta generata la fiecare T=2min (categorie random != precedenta; reducere din [5..50]); salvata in oferte.json; T2=10min curatenie; banner cu timer pe homepage; preturi vechi taiate + pret redus verde pe pagina produse"
13,Stergere automata backup vechi,IMPLEMENTAT,index.js,"L512-536","Functia stergeBackupVechi() sterge fisiere mai vechi de 30 minute; setInterval rulat periodic"
14,Cel mai ieftin produs per categorie,IMPLEMENTAT,resurse/js/produse.js,"L329-347","marcheazaCeleMaiIeftine() calculeaza min per categorie si adauga span .badge-ieftin pe produsul cel mai ieftin"
15,Numar total produse afisate,IMPLEMENTAT,"views/pagini/produse.ejs | resurse/js/produse.js","produse.ejs L158 | produse.js L71-79","#numar-produse actualizat dupa fiecare filtrare/sortare cu textul 'Produse afisate: N'"
16,Produse similare pe pagina produs,IMPLEMENTAT,"index.js | views/pagini/produs.ejs | bazaDate.js","index.js L468-469 | produs.ejs L46-61 | bazaDate.js L44-50","getProduseSimilare() interogheaza 4 produse din aceeasi categorie; afisate ca lista cu link-uri in produs.ejs"
17,Seturi produse,NEIMPLEMENTAT,—,—,Niciun tabel seturi/asociere_set in schema.sql; nicio pagina de seturi
